lon,lat,clase,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo
88.27,27.07,1,18.310667037963867,8.494166374206543,2970.0,113.22860717773438,39.0,1551.0,5.3
89.05,26.87,1,24.536083221435547,8.680000305175781,4103.0,105.19757080078125,44.0,246.0,5.4
121.114879,24.763618,1,20.788124084472656,6.214916706085205,2116.0,48.23344421386719,201.0,196.0,5.1
121.008736,24.644319,1,19.4375,5.938666343688965,2368.0,62.97378921508789,161.0,523.0,5.1
121.424035,25.135704,1,20.966041564941406,5.832250118255615,2825.0,25.096942901611328,528.0,78.0,4.8
120.96011,23.85649,1,18.613540649414062,5.935083389282227,2434.0,78.0635986328125,117.0,946.0,5.0
138.406845,34.989137,1,15.925185203552246,8.277036666870117,2186.0,41.97844314575195,240.0,46.0,5.1
120.790051,23.729314,1,18.488250732421875,5.788000106811523,2420.0,84.40406799316406,95.0,979.0,5.0
122.130494,30.041738,1,16.382043838500977,6.606357097625732,1274.0,40.33953094482422,167.0,81.0,5.8
120.877747,24.498342,1,20.038084030151367,6.1579999923706055,2290.0,73.99282836914062,110.0,411.0,5.1
120.878464,24.499436,1,20.038084030151367,6.1579999923706055,2290.0,73.99282836914062,110.0,411.0,5.0
121.601212,25.123531,1,20.091333389282227,5.44183349609375,3200.0,23.424787521362305,649.0,290.0,4.8
141.059203,38.371563,1,11.376834869384766,7.044543266296387,1154.0,47.34709930419922,124.0,59.0,5.7
134.315262,33.995045,1,12.403666496276855,6.741166591644287,1995.0,53.5750732421875,179.0,616.0,5.3
139.439936,35.626661,1,14.841291427612305,8.569916725158691,1527.0,46.71638488769531,152.0,84.0,5.5
139.448625,35.639967,1,14.841291427612305,8.569916725158691,1527.0,46.71638488769531,152.0,84.0,5.5
139.700674,35.672564,1,15.615541458129883,8.039416313171387,1466.0,45.43366622924805,143.0,34.0,5.5
139.468121,35.63259,1,14.841291427612305,8.569916725158691,1527.0,46.71638488769531,152.0,84.0,5.7
138.398987,34.981945,1,15.925185203552246,8.277036666870117,2186.0,41.97844314575195,240.0,46.0,5.1
121.86572,29.830008,1,16.049636840820312,6.744746208190918,1284.0,42.032623291015625,161.0,135.0,5.9
139.41026,35.914367,1,14.329333305358887,9.388166427612305,1426.0,51.425357818603516,137.0,74.0,5.9
-43.509722,-20.433611,1,17.450000762939453,11.352999687194824,1518.0,81.60735321044922,56.0,1258.0,5.1
39.83039,43.635702,1,13.045207977294922,8.21641731262207,1659.0,25.128353118896484,323.0,241.0,5.3
137.276078,35.434168,1,12.59375,8.978666305541992,2172.0,48.95522689819336,229.0,460.0,5.0
39.008972,40.916675,1,12.689916610717773,7.256333351135254,948.0,23.06734275817871,195.0,457.0,5.9
120.098853,30.243578,1,16.43570899963379,7.885916709899902,1337.0,43.31958770751953,155.0,63.0,5.8
139.680367,35.658753,1,15.699874877929688,7.690249919891357,1508.0,43.9100341796875,151.0,27.0,5.5
122.219162,30.00605,1,16.4042911529541,6.486249923706055,1257.0,39.636661529541016,167.0,79.0,6.0
-75.529724,39.116394,1,13.097167015075684,11.035833358764648,1142.0,12.27847957611084,254.0,13.0,5.5
135.464278,35.504372,1,13.774211883544922,8.142117500305176,1873.0,17.769990921020508,400.0,187.0,5.3
-43.510887,-20.434247,1,17.450000762939453,11.352999687194824,1518.0,81.60735321044922,56.0,1258.0,5.0
